text,label
 tested positive for movie,1
 i stuck covid tests bc my coworkers they kids my ass tested positive wednesday i back today they nice af me they feel bad i aint,1
 i tested positive for covid for time extra precautious my health forced teach person height,1
 my covid test negative i tested positive for dork,1
 tested positive for rip me,1
 my dad died morning i tested positive for covid minutes ago,1
 wordle tested positive for covid,1
 tested positive for covid for sixth time for speed,1
 owen week week ago i car accident tested positive for i hope your week better mine,1
 week i tested positive for covid triple vaccinated weirdest sickness quarantined days stay inside if you symptoms worth,1
 contacted my me i informed covid for i basically return if i test positive for we keeping children staff safe our public,1
 officially covid symptoms cleared improved lingering cough i starting if i catch,1
 i i never tested positive for i forward serving you watching you i you clients stacked i my abject,1
 quick video explaining i tested positive for covid days car dealing court feel free watch if you i love,1
 i mentioned my tweet earlier my adorable cats matilda we supposed them day i tested positive for covid we wait we finally them weekend,1
 im unvaxxed i tested positive day feeling,1
 bad tested positive for covid quarantine for,1
 damn i tested positive for covid,1
 i tested positive christmas flu you you can flu lived government test you,1
 i cannot stand covid if you you live your life if you may stay fuck caught shit today for grocery store i tested,1
 weeks stuck safe i tested positive for today my time back class my roommate covid testing positive today i safe,1
 tested positive for covid hahahahahah,1
 damn idk i my covid test positive tho sick hell for week lol,1
 guess tested positive for covidthis,1
 my hospital i sore severe body fever body hospital they tested me for covid me back call positive for covid told stay isolation,1
 tested positive for covid rip i feel better i hope too bad,1
 my covid night back positive me i hate my job cared coming i surprised lack empathy left me them,1
 um yeah tested positive for covid,1
 i started wednesday friday headache sat sun tho my organs hurt my skin painful today i positive testlet i regret,1
 i sprained my ankle tested positive for covid now falling skateboard hurting my,1
 medical me my girlfriend tested positive for drink our hearts you live,1
 vacinated covid i tested positive weeks days initial positive test january you may call natural will praise lord,1
 my husband i double days symptom onset positive false positives,1
 tested positive for covid explains i i hit car saturday,1
 tested positive for covid active account for i focus love you,1
 fun bad gotta love positive covid test,1
 i symptomatic night symptomatic tested i double husband tested positive yr double vaxxed symptomatic night negative,1
 hard social common sense covid finally caught my glad vaccinated,1
 recently tested positive for stuck my tweeting spicy takes for days for scum your internet start living alotta maxi brains rn,1
 wordle i may tested positive for covid i,1
 positive for covid screaming my lungs punched chest day,1
 tested positive for stream will bc kicking my worst my breathing i streaming energy will you guys updated i,1
 finally feeling better tested positive weeks ago now finally back booster change my life,1
 i tested positive yikes,1
 testing covid days symptomatic for days i tested positive antigen test positive pcr test,1
 tested positive for starting my quarantine will my days happy camper me luck road recovery,1
 i positive day i talked doctor people positive if you symptoms covid for considered risk spreading,1
 i supposed surgery today waiting for now pushed back i tested positive for covid smh,1
 for frontline nurse i weekend i tested positive for vaccinated symptoms grateful for,1
 damn shame i doctor for me i tested positive for covid he likes his nurse call me every days if dead my doctor,1
 tested positive for wife tested positive for nice paying stay for,1
 my wife i recovering covid mild symptoms our living situation terrible i positive random,1
 covid times never bad today i tested positive again boy i you barely,1
 me testing negative happy cuz exams friday me sore throat today,1
 my wear mask we tested positive for,1
 nice lady for my parents passed she announced she covid morning i,1
 breaking my if you read complaining scroll my test morning covid test hit me harder crying moping schedule,1
 i positive covid,1
 tested positive for covid i hoping flu shit hit fan,1
 i tested positive for everyone house isolating for recommended lucky i can i online delivered i leave house,1
 i tested positive for i i grateful i feel mild vaccine my miraculous immune,1
 guess tested positive for covid days her birthday,1
 i tested positive covid week my boss audacity me bc my everyone test positive i fine my positive test,1
 i tested positive for covid i i can symptoms,1
 i headed back teach covid positive i i triple i walked blocks my dogs i i developed sinus infection meds for better covid,1
 yeah i symptoms haha positive test,1
 i symptoms common cold suggestion my chief resident i covid test i sadly positive,1
 i tested positive rapid test hours symptoms never bothered i sick,1
 i covid tests week they i feeling shit i they today i finally back,1
 tested positive for lowest low rn,1
 supremely weird i tested negative for covid i symptomatic i retested today i symptom free i tested i guess i probably false weird,1
 positive covid spent my morning,1
 i can now i remembered tested positive for covid,1
 twisted my ankle tested positive for covid day monday,1
 me tested positive for covid,1
 i i contacts tripple vaxxed patient admitting week she started slight symptoms i tested positive days i tested days now imagine she hc,1
 promise muse drive write fandom testing positive for covid my mental you drama happy daily,1
 for i tested positive for covid week back testing tomorrow again damn i da,1
 tested positive for covid severe cold,1
 positive for covid months without time,1
 hey uhif interacted me weeks person highly recommend tested for covidi tested week ago neg tested today i clue i actuallybut you tested,1
 i tested positive for covid aches fever lasted booster my sons their booster,1
 tested positive for covid i,1
 hope your covid i feel fine i tested positive if doc can you you,1
 i feel positive for covid i feel,1
 i feel bad rn physically i classes morning kid i fever bug hindered me i school i tested positive for covid now i feel,1
 music monday tested positive for covid stream depending i,1
 for double vaxxed second time time tested i confirmed community contact i tested positive rat start,1
 sadly i tested positive covid stay,1
 i tested positive for my wear i comorbidities my better bc treatments bc putting people,1
 i tested positive for covid vaccinated moderna booster,1
 me every precaution testing positive for covid time,1
 i covid dec i tested positive back today if positive they i retest for days lol,1
 i bragging covid for couple weeks guess,1
 me testing positive for covid weeks booster,1
 tested positive for covid jan i vaccinated booster i me hospital underlying,1
 i dead i shortness breath weeks my positive covid pissed blaming every single person refused vaccinated for allowing virus,1
 dogging for everyone i finally me i feeling weekend test result back i now recovering,1
 tested positive for covid scared for my life my chest,1
 i covid positive for days now negative we live together stayed,1
 i sick bad day day i tested positive for rest i hurt i feel i for,1
 tested positive for headache extended my ear back my head hot my body yesterday i slept i plan stream lot quarantine,1
 i exact yesterday i tested covid maybe,1
 i hoping series my time my wisdom teeth i tested positive for now ready,1
 exact moment i i covid positive lots time my month submissions my brain,1
 repeat covid test guess my round safe,1
 positive for covid risk pretty sick upset scared now,1
 tested positive for covid lol,1
 guess i you weeks i caught i i i my sister drive bys i contact telehealth appt mask,1
 positive covid jan i wanna cry bad i feel,1
 i respect lesson hard for we care you care angry i my covid test back tested positive for,1
 ya boy tested positive for,1
 thos monday my stress tested positive for excuse me i scream void hydrate,1
 tested positive for covid terribly sick night morning doctors they i extremely intense pain my throat hurts woke nap feel bit better rough,1
 fuckin news i testing positive covid,1
 covid test morning back positive i called clinic double check i omnicron takes days symptoms start positive tests uhh tracks,1
 i we phrase positive instead she covid,1
 i sick months back convinced i covid tested i tested positive again yesterday,1
 sick tired marginally effective vaccine litmus test person decent human i vaccine covid isolation i tested for,1
 rt covid testing i,1
 i covid positive isolation they told me earlier i could store my refund i told me bearer drop my waiting they call me i i refund,1
 my covid test isolation back positive kidding me,1
 im isolating tested positive for blame boris his policies primary schools for i time,1
 escaped omicron wave nyc month i could test positive my my time i joined statistics,1
 dc calling me week i covid me positive baby i,1
 i tested positive for covid day i started feel better days pure god,1
 i tested positive for covid yesterday i shoutout dark blue gatorade,1
 tested positive for covid woooooooo,1
 i tested positive for test process wow,1
 horible news i could wake im positive for covid,1
 istg me tested positive for covid awful my day absolutely dreadful my hof my day you you,1
 difficult time glad feeling grieving personal timeline for i i covid too hit me hard i tested everyone prob anti,1
 i covid i real sick unvaxed friday my day for fine i diabetes blood baffles me i my positive everyone house lockdown nurse will contact you,1
 google anosmia parosmia for months now i tested positive for covid join abscent facebook lots helped me strong,1
 tested positive for covid rp i if i respond resting feel,1
 covid require i unvaccinated tested positive sick for now covid,1
 i trained cat today avoid my cat for tested positive for feeling for,1
 i finally tested positive for covid,1
 decided tested yesterday i family extremely cautious i tested everyone close contact tested i trust,1
 hey i test today i finally passed idk exact grade positive test started,1
 i vaccinated tested positive for covid,1
 welpresults covid test i earlier today lik hour agotested positivehoooooooo boy,1
 day isolation covid test positive i fevers i can taste food,1
 accurate people refusing test testing doe i rest morning covid i supposed report,1
 i tested positive for covid literally left my house twice week,1
 i positive i test for twice literally day i sick weds days test back positive friday negative testing negative again tests bullshit adding covid,1
 ermm did my covid test back positive minutes ago lmao,1
 my roomate staying his mom i covid i told him positive i apartment myself for,1
 i wrote my will january july i tested positive for if i i my house,1
 hubby bam positive test i i feel absolutely i cut my head headache i warm hot water bottles layers,1
 covid me too symptoms friday positive resting usual cats enjoy my,1
 my booster tested positive for covid,1
 second week legislation committees house senate week for me i tested positive for covid attending meetings,1
 feeling bad coughmy i tested positive for i testthe tests weird law test you we will if you can wait afternoon wtf,1
 my my luck i tested positive for covid lucky i my shots,1
 i tested covid symptoms crushing,1
 i officially avoided covid feeling bad i started aches fever lasted woke yesterday feeling fine for tested positive quarantine,1
 second test my positive covid test week we positive sese postive life era,1
 we care testing positive for tested positive weeks moderna confusing cdc guidelines now i vaccinated natural,1
 i positive covid test back now,1
 i for happy for mask i tested positive for covid planned isolate my cloth mask i can live normal,1
 me wife workout multiple times week for we covid positive now i can confirm shit,1
 my boys husband did i covid i tested positive they sicker tested negative theees lasted they finally feeling better,1
 i tested positive for covid contact,1
 guess tested positive for covid morning,1
 i tested positive for covid now income test negative back if you my etsy i listed custom link will my bio,1
 day tested positive for i enjoyed gagging i fun,1
 watching twitch stream did covid tested positive watching dadza pain,1
 caught surprised i lasted kids coaching kids negatives weekend bit better morning i strong positive now forced kids bedroom for gonna insane,1
 rebook my booster again i tested positive for monday january i wait weeks i finally my booster,1
 i hope day cuz i covid rapid test today i tested positive for you me,1
 me my parents did covid test for me tested positive apparentlyso me luck everyone,1
 tested positive for covid today,1
 i land anti air confirm practicing for time i call my doctor telling me covid,1
 gib plz i tested positive for covid we covid buddies,1
 my rapid test negative i shit second days positive for probably for you if you test,1
 for you vaccinated boosted tested positive for covid yea i wear,1
 i tested positive for covid fml,1
 i for positive i positive covid test,1
 double vaxxed masked i sitting covid positive i blame our son substitute teacher brought we hope we can,1
 fuck guys partying i literally tested positive for covid leaving my,1
 told them my symptoms they i quote demanded tested for tested,1
 grocery shopping popping positive for covid forced door dash wait grocery shopping sick,1
 tested times for i tested positive oct times flying peru dec tested times you,1
 nigga hit i test positive for covid days,1
 i told you i covid positive ass i hospital my kidney started fail massively i crapped my dicks i blood transfusions i iv fluid for,1
 half our staff including i day covid positives week me weekend tested severely understaffed week for lol,1
 my daughter i covid my daughter me my husband remained negative he did throat swab test negative did nasal,1
 monday i tested positive for covid,1
 week i started feeling i could feel quadrupled my vitamin zinc thursday morning i tested positive for,1
 i tested positive for covid days moving back my dorm hour drive back miserable,1
 tested positive for covid twice i fun,1
 reschedule i positive for covid now,1
 my fourth week quarantine tested positive every week sista me covid tests wished me luck negative,1
 positive for fat ass covid if ya girl soup i can back bed sleep shit my,1
 tested positive for shill me,1
 covid symptoms for week officially tested positive days feels every time i hours kicks my ass,1
 i feel covid positive feeling meh,1
 i i decided exercise i physical activity testing positive covid start i pushing myself i noticed my stamina breathing strong,1
 fucking booster extremely strict masking social distancing i tested positive for damn,1
 i tested positive for covid i resting day meh,1
 exact happened i tested positive for aches chills fever,1
 tested positive for cried for now,1
 i stopped red wine intake i tested positive for covid nuff corkscrew,1
 i hate i miami her time i tested positive for covid days i hoping i febuarary her i literally angry sad angry sad angry life,1
 im i tested positive for covid hours hearing cutie you,1
 for i covid vaccinated boosted i could guess i tested positive for,1
 tested positive for super careful i guess,1
 i tested positive for im,1
 if i covid tested positive i omicron can i catch,1
 i covid positive,1
 guess tested positive for covid,1
 tested positive for covid vaxed mild hope negative,1
 for covid i did my workout testing positive i winded minutes low impact pilates my living weeks ago warm,1
 staying positive positive for luckily stock my health properly for time my active my personal life my,1
 rewatching season i tested positive for covid,1
 congrats i tested covid positive,1
 everyone i tested positive instead negative for covid,1
 lol i shot second shot i positive i died months i covid again time hard vaccinated shot positive times,1
 i covid tesr night positive i gonna pcr rapid confirm i feel i stay safe stay sick chance covid,1
 sick pay days sick excluding covid isolation ive tested positive luckily person you ammount paid sick,1
 officially injured list positive stay safe,1
 i bad cold rapid covid test positive,1
 i tested positive for covid loving life,1
 now i officially positive covid i explain you horrible timing for,1
 i teach again i caught my teen i double vaxxed positive day symptoms i bought my husband positive day,1
 true your body supposed immune for months i tested positive march i tested positive again weeks i ppl experienced hope safe rn,1
 for week i tested positive for covid live stream yesterday,1
 tested positive for covid btw,1
 my my child i they informed variant positive their i did i started i can smell taste pretty i classic,1
 i my covid test result back tho feels regular yearly,1
 i completed day week testing positive for i effects meds weathered illness fine i today i tested negative for i positive for feeling,1
 yall i tested positive i never i i i errands boom i sending hate eric measures wrong incubation period,1
 i stopped red wine intake i tested positive for covid nuff,1
 gm positive for covid gonna alright,1
 tested positive for libertarian covid,1
 i tested positive for covid tf i sick half,1
 family ill family tested covid vax booster i wore mask house vaxxed i tested positive i protect,1
 day eleven sicky boi confirmed culprit attacked assaulted my immune i tested positive for i reiterate i i worst,1
 days saturday i sick my covid test sunday my pc i i my pcu broke today i my pc for service cable afternoon my covid test i,1
 tested positive for feeling now prayers,1
 dear inform i tested positive for covid initiating isolation requesting my friends my contact days tested,1
 tested positive for wfh cool,1
 i tested positive for covid i shocked i symptoms,1
 careful could child i tested positive for pretty we her closed for symptoms minimal safe,1
 officially tested positive for covid now for time catch my,1
 welpi tested positive for covid back office i virus,1
 my birthday gift i testing positive for covid today,1
 tested positive for covid yourselves tested if you mild pray for my recovery,1
 testing positive for covid i feel worse i did i back i swallow feels swallowing razer hurts i phoned my doctor if he could me he told me wait,1
 covid finally hit our house i tested positive yesterday i absolute shit for days we send stream week,1
 tested positive for covid fucking hell bro fuck,1
 tested positive for again,1
 i covid for time i symptoms i tested i exposed back positive,1
 achievement unlocked tested covid whoop dee doo my missing school live sad for maybe i can stream her tomorrow,1
 second official covid quick test cvs back i my vaccinations feeling worst cold i,1
 maybe feel streaming tested positive for covid today bit,1
 literally tested positive for covid again my life,1
 told covid test i sick weekend fever sore throat back positive,1
 tested positive for limit my social contacts for perfect if contact me week i recommend you,1
 tested positive for gonna me tweeting tho,1
 finally tested positive for whet,1
 caught tested negative for tested positive for covid weeks sick return,1
 i finally tested positive avoiding,1
 week lost person i cared tested positive for covid now i can barely move medical talk,1
 vaxxed positive monday me stay safe,1
 me testing positive for covid,1
 i tested positive i covid headache blocked sinus for feel did i kill,1
 i covid weeks vaxxed i clog hospitals brought tested advice cold true for,1
 if we dated you text im covid im i you,1
 i tested covid positive mild,1
 tl yea for me i did covid test days i my negative test i positive i waiting bit hope you better,1
 me testing positive for covid i hate plz send vibes my,1
 for covid i tested positive you governor ron desantis for,1
 tested positive for now i days i cannot people sick me i i,1
 positive covid doghouse for feel bad,1
 tested positive for flu covid,1
 excuse me i dig hole heartbreak my bts ticket cancelled i ateez forward now house sick week covid test back universe hate,1
 i test today guess fucken positive for covid,1
 my pfizer shot i wear mask wash my hands days i tested positive for symptoms,1
 we we lasted time covid now we tested positive back careful drinks vitamins disinfect,1
 im gonna fucking cry i tested positive for covid,1
 my birthday guess my present testing positive for you fvckface assholes running without masks without main reason pandemic stronger fvck,1
 friday i tested positive for resting excited back campaign trail,1
 i tested positive for covid week today day happy i recovered i medicine paracetamol vit,1
 issue i tested positive for covid my wife friday she did again negative we bought if she infected her test igg,1
 i milking my covid positive dentist called schedule me aw can i,1
 tested positive for feels bad probably omicron i can sort taste fruit flavor sort intense,1
 officially tested positive for covid week symptoms,1
 fuck tested positive days ago i covid shit,1
 terrible tested positive for covid sleep now,1
 i tested positive for covid i experienced i worst mental i,1
 i my covid test could negative i could back girl your flu sike,1
 i tested positive for covid qwq,1
 morning my covid test back positive i haft stay for weeks time i love,1
 i people tested positive for covid tested positive for i covid start my symptoms bad cold my daughter fever i your lol,1
 you i tested positive wednesday for covid i my daily life i my energy,1
 tested positive for covid sucks,1
 i tested positive for covid hospital,1
 i covid positive papà idandee back,1
 i tested positive for covid risk for i begged lord me live care my elderly praying he,1
 i covid positive fever my centre if exam i for me exam my if responsible for,1
 day quarantining testing positive for i feeling better each everyday shake dang i feel blessed for love,1
 uhm i tested positive for,1
 day testing positive dose steroids antibiotics my doctor me person i test negative,1
 i tested positive,1
 guess positive au covid,1
 rapid test positive for thankfully vaxxed weekend differentlyif if you,1
 bruh i tested positive for covid,1
 official i tested positive for covid fortunately my mother tested test again day dr quarantine for feeling better today worst,1
 temp whites my eyes did test told my wife i i we decided i pain worse afternoon hands hurt legs tested supper,1
 month testing positive for i taste random tastes my banana i,1
 i never win tested positive for covid morning could pick me lol,1
 i tested positive for covid now i recovered tested negative again better,1
 avoiding for i tested positive for covid podcast week recap wild week basketball,1
 sigh covid positive,1
 if tested positive for covid fuck,1
 my covid test back im positive,1
 week started food poisoning now tested positive for worse i my finals everyone can send me memes cheer me,1
 unfortunately i tested positive for i will remotely i hoped start legislative grateful my symptoms colorado continue remain vigilant stay,1
 happy birthday i tested positive for covid,1
 i recently tested positive for again mild i quarantined myself precautions medication contact me,1
 tested yesterday positive for covid i swear god i,1
 tested positive for safe kids,1
 tested positive for moderate severe contact me check,1
 i tested positive for i week sounds suikoden play,1
 my double vaxxed symptoms tested positive days save tests we tested again days for return school test strip completely booster day testing days,1
 covid i caught my positive triplejabbed i too triplejabbed positive if reduces vulnerable,1
 i tested positive for covid for writing bit detail,1
 sad i tested covid positive today i feeling i strong,1
 i tested positive for covid saturday sick wednesday evening monday days i hope kick,1
 annoyed umarmy flight weeks ago i covid my pcr im yay finally can back my surgery life flights love erm back ygm,1
 days start my covid symptoms testing i understand guideline back producing,1
 testing positive cold me time i covid jan i struggling breathe i sat bathroom floor ice lolly vaccinated,1
 tested positive for i feel better if you could send me you,1
 waiting for test my dr me if positive for covid called me me they leave till,1
 i hope youll feel better i positive covid too eat healthy drink lots water drink medicines vitamins,1
 i tested positive for news feeling bad my,1
 tested positive for lovely,1
 i tested positive for covid fuck,1
 official i covid positive,1
 i gonna tweet you picture me wearing shorts degree weather i tested positive for covid,1
 tested positive for prayers for speedy recovery,1
 ive covid positive for day i bored,1
 everyone i tested positive for covid i may streams now i will for days,1
 tested positive for covid today mild i quarantined myself i request contact me tested,1
 my coworkers myself my coworkers rapid tests they back i nose swab,1
 sick my stomach paul tested positive for i food slight i tested for paul zoom dr i crazy,1
 day testing running feel imagine if i vaxxed omicron joke,1
 everyone i bad now i positive covid i feel sick i sad now i my birthday hop you guys day,1
 my kids i covid we masked my bedroom for couple we eased guess now my husband sick tested we losing every,1
 for i did careful omicron strain highly i tested positive for covid i mild symptoms,1
 i spend majority week isolation my wife i tested positive for bring week,1
 i tested positive for covid super yall,1
 properly my frustration tested for finding sick weeks time testing time i sick now sick twice hate,1
 i tested positive i result my quarantining my friends housemates covid regular testing,1
 tested positive for time read hive,1
 covid test back positive time hoping for,1
 i for without catching covid i every guideline i tested i mild symptoms never can happen you,1
 chronic vaccinated shots i tested positive for covid probably probably sick for days worst symptom sinus drainage mild,1
 covid we fever never intense main jhukega will back normal my dm for will reply i mugged safe rabb,1
 tested positive for covid ima i i sick i,1
 primary teacher i dodged i tested positive pretty healthy covid hit me i spent yesterday vomiting running temp,1
 i tested positive for awful stuffiness sore,1
 i for jobs my quarantine gotta explain screenshot my mysejahtera cuz covid positive,1
 tested positive for covid sunday morning now i unbearable pain my my double vaxxed double masking for i our govt covid wild for sake,1
 covid day my my head sooooo i sleep congested pain i,1
 if you contract covid you sick tested positive i spent yesterday throwing temp muscle primary,1
 my aunt me school me positive covid test bitch i feel shit,1
 covid touch tested i meet literally virus community transmission care you,1
 finally i pandemic without catching my daughter for days finally caught,1
 i tested positive for covid i supposed my pictures for my job today,1
 positive for stream,1
 positive for covid sooo stream,1
 yesterday i positive covid test,1
 i tested positive for covid now i wait die i i,1
 me my gf tested positive for covid morning we live call soulmate shit,1
 rampant tested positive for isolation for fun,1
